iata,name,city,state,country,latitude,longitude,death
00M,Thigpen,Bay Springs,MS,USA,31.95376472,-89.23450472,0.0
00R,Livingston Municipal,Livingston,TX,USA,30.68586111,-95.01792778,61.0
00V,Meadow Lake,Colorado Springs,CO,USA,38.94574889,-104.5698933,74.0
01G,Perry-Warsaw,Perry,NY,USA,42.74134667,-78.05208056,390.0
01J,Hilliard Airpark,Hilliard,FL,USA,30.6880125,-81.90594389,0.0
01M,Tishomingo County,Belmont,MS,USA,34.49166667,-88.20111111,247.0
02A,Gragg-Wade,Clanton,AL,USA,32.85048667,-86.61145333,452.0
02C,Capitol,Brookfield,WI,USA,43.08751,-88.17786917,305.0
02G,Columbiana County,East Liverpool,OH,USA,40.67331278,-80.64140639,104.0
03D,Memphis Memorial,Memphis,MO,USA,40.44725889,-92.22696056,0.0
04M,Calhoun County,Pittsboro,MS,USA,33.93011222,-89.34285194,353.0
04Y,Hawley Municipal,Hawley,MN,USA,46.88384889,-96.35089861,189.0
05C,Griffith-Merrillville,Griffith,IN,USA,41.51961917,-87.40109333,92.0
05F,Gatesville - City/County,Gatesville,TX,USA,31.42127556,-97.79696778,0.0
05U,Eureka,Eureka,NV,USA,39.60416667,-116.0050597,384.0
06A,Moton  Municipal,Tuskegee,AL,USA,32.46047167,-85.68003611,0.0
06C,Schaumburg,Chicago/Schaumburg,IL,USA,41.98934083,-88.10124278,0.0
06D,Rolla Municipal,Rolla,ND,USA,48.88434111,-99.62087694,0.0
06M,Eupora Municipal,Eupora,MS,USA,33.53456583,-89.31256917,410.0
06N,Randall,Middletown,NY,USA,41.43156583,-74.39191722,191.0
06U,Jackpot/Hayden,Jackpot,NV,USA,41.97602222,-114.6580911,0.0
07C,Dekalb County,Auburn,IN,USA,41.30716667,-85.06433333,0.0
07F,Gladewater Municipal,Gladewater,TX,USA,32.52883861,-94.97174556,0.0
07G,Fitch H Beach,Charlotte,MI,USA,42.57450861,-84.81143139,0.0
07K,Central City Municipal,Central City,NE,USA,41.11668056,-98.05033639,340.0
08A,Wetumpka Municipal,Wetumpka,AL,USA,32.52943944,-86.32822139,95.0
08D,Stanley Municipal,Stanley,ND,USA,48.30079861,-102.4063514,473.0
08K,Harvard State,Harvard,NE,USA,40.65138528,-98.07978667,470.0
08M,Carthage-Leake County,Carthage,MS,USA,32.76124611,-89.53007139,488.0
09A,Butler-Choctaw County,Butler,AL,USA,32.11931306,-88.1274625,0.0
09J,Jekyll Island,Jekyll Island,GA,USA,31.07447222,-81.42777778,377.0
09K,Sargent Municipal,Sargent,NE,USA,41.63695083,-99.34038139,409.0
09M,Charleston Municipal,Charleston,MS,USA,33.99150222,-90.078145,155.0
09W,South Capitol Street,Washington,DC,USA,38.86872333,-77.00747583,276.0
0A3,Smithville Municipal,Smithville,TN,USA,35.98531194,-85.80931806,0.0
0A8,Bibb County,Centreville,AL,USA,32.93679056,-87.08888306,0.0
0A9,Elizabethton Municipal,Elizabethton,TN,USA,36.37094306,-82.17374111,60.0
0AK,Pilot Station,Pilot Station,AK,USA,61.93396417,-162.8929358,167.0
0B1,Col. Dyke,Bethel,ME,USA,44.42506444,-70.80784778,23.0
0B4,Hartington Municipal,Hartington,NE,USA,42.60355556,-97.25263889,0.0
0B5,Turners Falls,Montague,MA,USA,42.59136361,-72.52275472,18.0
0B7,Warren-Sugar Bush,Warren,VT,USA,44.11672722,-72.82705806,321.0
0B8,Elizabeth,Fishers Island,NY,USA,41.25130806,-72.03161139,87.0
0C0,Dacy,Chicago/Harvard,IL,USA,42.40418556,-88.63343222,0.0
0C4,Pender Municipal,Pender,NE,USA,42.11388722,-96.72892556,360.0
0D1,South Haven Municipal,South Haven,MI,USA,42.35083333,-86.25613889,0.0
0D8,Gettysburg Municipal,Gettysburg,SD,USA,44.98730556,-99.9535,0.0
0E0,Moriarty,Moriarty,NM,USA,34.98560639,-106.0094661,0.0
0E8,Crownpoint,Crownpoint,NM,USA,35.71765889,-108.2015961,0.0
0F2,Bowie Municipal,Bowie,TX,USA,33.60166667,-97.77556,150.0
0F4,Loup City Municipal,Loup City,NE,USA,41.29028694,-98.99064278,285.0
0F7,Fountainhead Lodge Airpark,Eufaula,OK,USA,35.38898833,-95.60165111,348.0
0F8,William R Pogue Municipal,Sand Springs,OK,USA,36.17528,-96.15181028,13.0
0F9,Tishomingo Airpark,Tishomingo,OK,USA,34.19592833,-96.67555694,0.0
0G0,North Buffalo Suburban,Lockport,NY,USA,43.10318389,-78.70334583,0.0
0G3,Tecumseh Municipal,Tecumseh,NE,USA,40.39944417,-96.17139694,115.0
0G6,Williams County,Bryan,OH,USA,41.46736111,-84.50655556,0.0
0G7,Finger Lakes Regional,Seneca Falls,NY,USA,42.88062278,-76.78162028,0.0
0H1,Trego Wakeeney,Wakeeney,KS,USA,39.0044525,-99.89289917,0.0
0I8,Cynthiana-Harrison County,Cynthiana,KY,USA,38.36674167,-84.28410056,112.0
0J0,Abbeville Municipal,Abbeville,AL,USA,31.60016778,-85.23882222,0.0
0J4,Florala Municipal,Florala,AL,USA,31.04247361,-86.31156111,0.0
0J6,Headland Municipal,Headland,AL,USA,31.364895,-85.30965556,230.0
0K7,Humboldt Municipal,Humboldt,IA,USA,42.7360825,-94.24524167,0.0
0L5,Goldfield,Goldfield,NV,USA,37.71798833,-117.2384119,381.0
0L7,Jean,Jean,NV,USA,35.76827222,-115.3296378,160.0
0L9,Echo Bay,Overton,NV,USA,36.31108972,-114.4638672,0.0
0M0,Dumas Municipal,Dumas,AR,USA,33.8845475,-91.53429111,0.0
0M1,Scott,Parsons,TN,USA,35.63778,-88.127995,375.0
0M4,Benton County,Camden,TN,USA,36.01122694,-88.12328833,250.0
0M5,Humphreys County,Waverly,TN,USA,36.11659972,-87.73815889,0.0
0M6,Panola County,Batesville,MS,USA,34.36677444,-89.90008917,0.0
0M8,Byerley,Lake Providence,LA,USA,32.82587917,-91.187665,271.0
0O3,Calaveras Co-Maury Rasmussen,San Andreas,CA,USA,38.14611639,-120.6481733,258.0
0O4,Corning Municipal,Corning,CA,USA,39.94376806,-122.1713781,312.0
0O5,University,Davis,CA,USA,38.53146222,-121.7864906,264.0
0Q5,Shelter Cove,Shelter Cove,CA,USA,40.02764333,-124.0733639,2.0
0Q6,Shingletown,Shingletown,CA,USA,40.52210111,-121.8177683,371.0
0R0,Columbia-Marion County,Columbia,MS,USA,31.29700806,-89.81282944,59.0
0R1,Atmore Municipal,Atmore,AL,USA,31.01621528,-87.44675972,315.0
0R3,Abbeville Chris Crusta Memorial,Abbeville,LA,USA,29.97576083,-92.08415167,0.0
0R4,Concordia Parish,Vidalia,LA,USA,31.56683278,-91.50011889,0.0
0R5,David G Joyce,Winnfield,LA,USA,31.96366222,-92.66026056,463.0
0R7,Red River,Coushatta,LA,USA,31.99071694,-93.30739306,471.0
0S7,Dorothy Scott,Oroville,WA,USA,48.958965,-119.4119622,77.0
0S9,Jefferson County International,Port Townsend,WA,USA,48.04981361,-122.8012792,256.0
0V2,Harriet Alexander,Salida,CO,USA,38.53916389,-106.0458483,119.0
0V3,Pioneer Village,Minden,NE,USA,40.5149125,-98.94565083,198.0
0V4,Brookneal/Campbell County,Brookneal,VA,USA,37.14172222,-79.01638889,217.0
0V6,Mission Sioux,Mission,SD,USA,43.30694778,-100.6281936,124.0
0V7,Kayenta,Kayenta,AZ,USA,36.70972139,-110.2367978,0.0
10C,Galt,Chicago/Greenwood/Wonderlake,IL,USA,42.40266472,-88.37588917,74.0
10D,Winsted Municipal,Winsted,MN,USA,44.94996278,-94.0669175,0.0
10G,Holmes County,Millersburg,OH,USA,40.53716667,-81.95436111,467.0
10N,Wallkill,Wallkill,NY,USA,41.62787111,-74.13375583,287.0
10U,Owyhee,Owyhee,NV,USA,41.95323306,-116.1876014,44.0
11A,Clayton Municipal,Clayton,AL,USA,31.88329917,-85.48491361,463.0
11D,Clarion Cty,Clarion,PA,USA,41.22581222,-79.44098972,0.0
11IS,Schaumburg Heliport,Chicago/Schaumburg,IL,USA,42.04808278,-88.05257194,0.0
11J,Early County,Blakely,GA,USA,31.39698611,-84.89525694,381.0
11R,Brenham Municipal,Brenham,TX,USA,30.219,-96.37427778,0.0
12C,Rochelle Municipal,Rochelle,IL,USA,41.89300139,-89.07829,102.0
12D,Tower Municipal,Tower,MN,USA,47.81833333,-92.29166667,0.0
12J,Brewton Municipal,Brewton,AL,USA,31.05126306,-87.06796833,0.0
12K,Superior Municipal,Superior,NE,USA,40.04636111,-98.06011111,0.0
12Y,Le Sueur Municipal,Le Sueur,MN,USA,44.43746472,-93.91274083,213.0
13C,Lakeview,Lakeview,MI,USA,43.45213722,-85.26480333,0.0
13K,Eureka Municipal,Eureka,KS,USA,37.8515825,-96.29169806,26.0
